flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,prediction,actual
0.2407943,0.11516349,0.1967758,0.074722745,0.07561014,-0.026677942,0.0,0.0,0.0,0.0,-0.004257624,0.026537403,0.0,0.0,0.04816914,0.059512705,-0.004224242,0.03254882,1.6668671,-0.009409029,0.04547643,0.0,0.0,0.0,0.0,0.0,-0.0942637,-0.0045753215,0.0,0.0,0.0,0.0,0.0,-0.043200355,-0.08618488,0.25289792,0.37801296,0.008286777,0.57312524,0.50038177,0.34979153,0.5021341,-0.03483535,0.0034012166,0.6664211,0.10522331,1,
0.2335643,0.118365444,0.21044241,0.0963174,0.060085826,-0.028875124,0.0,0.0,0.0,0.0,0.1744969,-0.0026244966,0.0,0.0,0.047381043,0.074422866,-0.003610385,-0.03373381,1.5036291,-0.008062635,0.047380067,0.0,0.0,0.0,0.0,0.0,0.03960222,-0.0032450196,0.0,0.0,0.0,0.0,0.0,-0.041335803,0.22828381,0.25149587,0.28614613,0.013906971,0.54417914,0.46083724,0.36349767,0.48271197,-0.03714352,0.011011889,0.48680437,0.115023926,1,
0.18632801,0.11113339,0.096914224,0.12430401,0.13029554,0.05710163,0.0,0.0,0.0,0.0,-0.0038625654,0.040534284,0.0,0.0,0.019792162,0.04162984,-0.0044103693,-0.004060505,1.3827788,0.2522866,0.07613303,0.0,0.0,0.0,0.0,0.0,0.03478257,-0.0015926175,0.0,0.0,0.0,0.0,0.0,-0.021689603,0.19616851,0.21691449,0.23020424,-0.013443741,0.5722897,0.4667753,0.37030667,0.48717088,-0.043853283,-0.008627806,0.45844567,0.10943226,1,1.0
0.21536742,0.11843758,0.21065238,0.088436835,0.10083714,-0.020629486,0.0,0.0,0.0,0.0,0.16092768,-0.0026244966,0.0,0.0,0.04885089,0.07448087,0.0619,-0.040304203,1.455886,-0.008062635,0.047380067,0.0,0.0,0.0,0.0,0.0,0.037471607,-0.0032450196,0.0,0.0,0.0,0.0,0.0,-0.039409734,0.22828381,0.25093645,0.28780922,0.013906971,0.5423499,0.45997912,0.36349767,0.48771638,-0.03714352,0.011624778,0.46061826,0.115023926,1,
0.2407943,0.11516349,0.1967758,0.074722745,0.07561014,-0.026677942,0.0,0.0,0.0,0.0,-0.004257624,0.026537403,0.0,0.0,0.04816914,0.059512705,-0.004224242,0.03254882,1.6668671,-0.009409029,0.04547643,0.0,0.0,0.0,0.0,0.0,-0.0942637,-0.0045753215,0.0,0.0,0.0,0.0,0.0,-0.043200355,-0.08618488,0.25289792,0.37801296,0.008286777,0.57312524,0.50038177,0.34979153,0.5021341,-0.03483535,0.0034012166,0.6664211,0.10522331,1,
0.16745804,0.10637891,0.11369898,0.13745598,0.1536164,0.08776408,0.0,0.0,0.0,0.0,0.16373098,-0.0024642556,0.0,0.0,0.024168631,0.07039018,-0.0036405479,-0.05708909,1.3517315,-0.0039748317,0.060659274,0.0,0.0,0.0,0.0,0.0,0.033268813,-0.0029755312,0.0,0.0,0.0,0.0,0.0,-0.022186296,0.2194684,0.24772082,0.25056002,-0.013894866,0.5918803,0.45331514,0.34914124,0.4818604,-0.044471227,-0.014746027,0.48292145,0.10943226,1,
-0.015140744,0.12901339,0.21360797,0.08805982,0.08890692,-0.032135546,0.0,0.0,0.0,0.0,-0.004257624,0.04120504,0.0,0.0,0.053095583,0.048434056,-0.004134852,0.020305298,1.5784364,-0.0103563825,0.045791328,0.0,0.0,0.0,0.0,0.0,0.05394301,-0.0018621057,0.0,0.0,0.0,0.0,0.0,-0.04548939,0.21116173,0.24692875,0.2712478,0.01359361,0.5470552,0.47147194,0.33889034,0.4940749,-0.028732602,-0.021265497,0.53601533,0.115023926,1,
0.22433747,0.13153647,0.1640418,0.0962031,-0.056911252,-0.03272954,0.0,0.0,0.0,0.0,-0.0041270973,0.040465962,0.0,0.0,-0.0348901,0.096954726,0.07052026,0.005403865,1.5989993,-0.009620549,0.03613416,0.0,0.0,0.0,0.0,0.0,0.034868345,-0.0018621057,0.0,0.0,0.0,0.0,0.0,-0.039337028,0.16040105,0.2527623,0.2853036,0.010621215,0.6700223,0.48108542,0.37842768,0.51290154,-0.023425981,0.009233659,0.42854592,0.08450337,1,
0.24017195,0.10448231,0.180761,0.08360717,0.03679429,-0.031605598,0.0,0.0,0.0,0.0,-0.0040314943,0.040465962,0.0,0.0,-0.07439067,0.07152056,0.066169426,-0.013248975,1.5517182,-0.009620549,0.03613416,0.0,0.0,0.0,0.0,0.0,0.038985368,-0.0018621057,0.0,0.0,0.0,0.0,0.0,-0.039679673,0.16660805,0.25220287,0.28810045,0.010621215,0.6583964,0.47135538,0.37828803,0.51299906,-0.020265497,0.011484681,0.46015203,0.115023926,1,
-0.12456936,0.12962312,0.13028786,0.08188276,0.10483475,-0.06444248,0.0,0.0,0.0,0.0,-0.00419726,0.040456213,0.0,0.0,0.05401576,-0.021483043,-0.0039827656,-0.06177399,1.6566318,-0.009667518,0.05754613,0.0,0.0,0.0,0.0,0.0,0.045715652,-0.0018621057,0.0,0.0,0.0,0.0,0.0,-0.041356217,0.2223698,0.26889312,0.26660052,-0.02226358,0.56235456,0.45667243,0.3572291,0.4915153,-0.066852756,-0.0081097875,0.41053092,0.111467734,1,
0.15904239,0.13344277,0.079982564,0.10416463,0.07779357,0.029009921,0.0,0.0,0.0,0.0,-0.0042578126,0.040029816,0.0,0.0,0.024969505,-0.061547723,-0.0044058897,0.012622732,1.5698656,-0.008881084,0.101529,0.0,0.0,0.0,0.0,0.0,0.036457855,-0.0018621057,0.0,0.0,0.0,0.0,0.0,-0.03258391,0.18973826,0.2784958,0.249579,0.015130253,0.58394307,0.4663461,0.377828,0.5085557,-0.042813256,0.017791178,0.383436,0.10317631,1,1.0
0.24842928,0.10448231,0.18070821,0.09326327,-0.006346492,-0.03954203,0.0,0.0,0.0,0.0,-0.0041270973,0.040465962,0.0,0.0,-0.073243104,0.07230484,0.07052026,-0.009824793,1.5764135,-0.009620549,0.03613416,0.0,0.0,0.0,0.0,0.0,0.038533952,-0.0018621057,0.0,0.0,0.0,0.0,0.0,-0.04160574,0.16660805,0.2527623,0.28750873,0.010621215,0.6583964,0.47183168,0.37828803,0.51299906,-0.020265497,0.010871792,0.4616084,0.115023926,1,
0.21251388,0.085840926,0.16122524,0.091478355,-0.0073901564,0.032739464,0.0,0.0,0.0,0.0,-0.0036803067,0.040534284,0.0,0.0,-0.005338738,0.098635145,0.07052026,0.019979663,1.4861642,0.26488417,0.044410132,0.0,0.0,0.0,0.0,0.0,0.034868345,-0.0018621057,0.0,0.0,0.0,0.0,0.0,-0.03959808,0.16499577,0.2134991,0.2932473,-0.01908442,0.60957056,0.46858656,0.37916702,0.5000161,-0.024098571,0.013655962,0.42604962,0.10537434,1,1.0
-0.06878307,-0.04836627,-0.023256823,0.13328734,-0.07498714,-0.030845905,0.0,0.0,0.0,0.0,-0.004828685,0.038374532,0.0,0.0,0.026210004,0.13529259,-0.0035693585,0.16460308,1.6694094,-0.0026588677,0.05334319,0.0,0.0,0.0,0.0,0.0,-0.026830705,0.025358954,0.0,0.0,0.0,0.0,0.0,0.22411075,0.06945549,0.17495807,-0.04012827,-0.056258142,0.004227402,0.3860426,0.5777522,0.014864411,0.023448613,0.0048974953,0.5580404,0.076561324,1,
